id,owner_type,owner_id,effect_type,target,key,op,value,chance,notes
fx_0120,action,ex_buy,stat,,network_elite,add,1,1,
fx_0121,action,ex_buy,stat,,suspicion,add,1,1,
fx_0125,action,ex_short,stat,,network_elite,add,1,1,
fx_0126,action,ex_short,stat,,suspicion,add,2,1,
fx_0131,action,ex_rumor_true,stat,,network_elite,add,2,1,
fx_0143,action,ex_leverage,stat,,network_elite,add,2,1,
fx_0151,threshold,th_su_leak,flag,,su_leaks_zhou_info,set,1,1,晚晴主动透露周家消息
fx_0152,threshold,th_su_drift,flag,,su_accepts_son_gifts,set,1,1,接受贵重礼物并疏远主角
fx_0153,threshold,th_su_betray,flag,,su_may_betray,set,1,1,好感过低可能反水告密
fx_0154,threshold,th_father_conflict,stat,,father_son_tension,add,15,1,父子信任崩 → 矛盾激化（可叠加事件）
fx_0155,threshold,th_boss_watch,flag,,boss_watching,set,1,1,派人监视；阴谋成功率下降
fx_0156,threshold,th_son_hostile,flag,,son_hostile,set,1,1,少霆开始针对打压
fx_0157,threshold,th_chen_ally,flag,,can_join_tongyang,set,1,1,具备跳槽谈判资格
fx_0158,threshold,st_low_money,flag,,low_money,set,1,1,
fx_0159,threshold,st_clear_low_money,flag,,low_money,set,0,1,
fx_0160,threshold,st_suspicion_light,flag,,suspicion_light,set,1,1,
fx_0161,threshold,st_suspicion_mid,flag,,suspicion_mid,set,1,1,
fx_0162,threshold,st_suspicion_heavy,flag,,suspicion_critical,set,1,1,mark only; fire event handles unemployment
fx_0163,threshold,st_b_tension,flag,,tension_high,set,1,1,only marks tension; clash event grants ending_route_b_ready
fx_0164,choice,ch_d7_endure,flag,,route_focus_b,set,1,1,倾向标记可并存
fx_0165,choice,ch_d7_defect,flag,,route_focus_a,set,1,1,
fx_0166,choice,ch_d7_finance,flag,,route_focus_c,set,1,1,
fx_0167,choice,ch_d7_endure,stat,,father_son_tension,add,5,1,
fx_0168,choice,ch_d7_defect,stat,,intel,add,3,1,
fx_0169,choice,ch_d7_finance,stat,,network_elite,add,2,1,
fx_0170,choice,ch_b_push,stat,,father_son_tension,add,12,1,
fx_0171,choice,ch_b_push,stat,,intel,add,-5,1,
fx_0172,choice,ch_b_push,stat,,suspicion,add,6,1,
fx_0173,choice,ch_b_push,relation,,su_qing:zhou_shaoting:intimacy,add,5,1,
fx_0174,choice,ch_b_wait,stat,,suspicion,add,-3,1,
fx_0175,event,ev_day5_promotion_stolen,stat,,trust,add,-15,1,
fx_0176,event,ev_day5_promotion_stolen,stat,,suspicion,add,5,1,
fx_0177,event,ev_day5_promotion_stolen,flag,,forced_night_shift,set,1,1,
fx_0178,choice,ch_d6_ask,relation,,su_qing:player:favor,add,-15,1,质问翻脸
fx_0179,choice,ch_d6_ask,stat,,intel,add,5,1,
fx_d6_ask_gifts,choice,ch_d6_ask,flag,,su_accepts_son_gifts,set,1,1,手帕坐实收礼
fx_d6_ask_son_notice,choice,ch_d6_ask,flag,,son_notices_su,set,1,1,
fx_d6_ask_intimacy,choice,ch_d6_ask,relation,,su_qing:zhou_shaoting:intimacy,add,4,1,
fx_d6_ask_tension,choice,ch_d6_ask,stat,,father_son_tension,add,3,1,
fx_0180,choice,ch_d6_hold,relation,,su_qing:player:favor,add,-6,1,吞下恨意仍疏远
fx_0181,choice,ch_d6_hold,relation,,su_qing:zhou_shaoting:intimacy,add,10,1,
fx_d6_hold_gifts,choice,ch_d6_hold,flag,,su_accepts_son_gifts,set,1,1,
fx_d6_hold_betray,choice,ch_d6_hold,flag,,su_may_betray,set,1,1,不拆穿则裂缝加深
fx_d6_hold_tension,choice,ch_d6_hold,stat,,father_son_tension,add,2,1,
fx_0182,choice,ch_b_clash_ok,flag,,ending_route_b_ready,set,1,1,
fx_0183,choice,ch_b_clash_ok,stat,,trust,add,20,1,借机升主管：信任抬到货仓主管档
fx_0184,choice,ch_a_ok,flag,,ending_show_a,set,1,1,
fx_0185,choice,ch_c_ok,flag,,ending_show_c,set,1,1,
fx_0186,choice,ch_c_ok,stat,,money,add,120,1,第一桶金占位
fx_0187,choice,ch_fail_fired_ok,employer,,none,set,1,1,fire -> unemployed
fx_0188,choice,ch_fail_broke_ok,flag,,ending_fail,set,1,1,
fx_dch_dlg_su_talk_soft_1,dialogue_choice,dch_dlg_su_talk_soft,relation,,su_qing:player:favor,add,6,1,
fx_dch_dlg_su_talk_soft_2,dialogue_choice,dch_dlg_su_talk_soft,relation,,su_qing:player:trust,add,3,1,
fx_dch_dlg_su_talk_soft_3,dialogue_choice,dch_dlg_su_talk_soft,stat,,intel,add,3,1,
fx_dch_dlg_su_talk_soft_4,dialogue_choice,dch_dlg_su_talk_soft,stat,,father_son_tension,add,1,1,
fx_dch_dlg_su_talk_press_1,dialogue_choice,dch_dlg_su_talk_press,relation,,su_qing:player:favor,add,-4,1,
fx_dch_dlg_su_talk_press_2,dialogue_choice,dch_dlg_su_talk_press,relation,,su_qing:zhou_shaoting:intimacy,add,2,1,
fx_dch_dlg_su_talk_press_3,dialogue_choice,dch_dlg_su_talk_press,stat,,intel,add,5,1,
fx_dch_dlg_su_talk_press_4,dialogue_choice,dch_dlg_su_talk_press,stat,,suspicion,add,1,1,
fx_dch_dlg_su_talk_scheme_1,dialogue_choice,dch_dlg_su_talk_scheme,relation,,su_qing:player:favor,add,2,1,
fx_dch_dlg_su_talk_scheme_2,dialogue_choice,dch_dlg_su_talk_scheme,relation,,su_qing:player:suspicion,add,3,1,
fx_dch_dlg_su_talk_scheme_3,dialogue_choice,dch_dlg_su_talk_scheme,stat,,intel,add,4,1,
fx_dch_dlg_su_talk_scheme_4,dialogue_choice,dch_dlg_su_talk_scheme,stat,,father_son_tension,add,2,1,
fx_dch_dlg_su_guide_ok_1,dialogue_choice,dch_dlg_su_guide_ok,relation,,su_qing:player:favor,add,4,1,
fx_dch_dlg_su_guide_ok_2,dialogue_choice,dch_dlg_su_guide_ok,relation,,su_qing:zhou_shaoting:intimacy,add,4,1,
fx_dch_dlg_su_guide_ok_3,dialogue_choice,dch_dlg_su_guide_ok,stat,,father_son_tension,add,5,1,
fx_dch_dlg_su_guide_ok_4,dialogue_choice,dch_dlg_su_guide_ok,stat,,intel,add,-2,1,
fx_dch_dlg_su_guide_ok_5,dialogue_choice,dch_dlg_su_guide_ok,stat,,suspicion,add,2,1,
fx_dch_dlg_su_guide_cold_1,dialogue_choice,dch_dlg_su_guide_cold,relation,,su_qing:player:favor,add,-6,1,
fx_dch_dlg_su_guide_cold_2,dialogue_choice,dch_dlg_su_guide_cold,relation,,su_qing:zhou_shaoting:intimacy,add,6,1,
fx_dch_dlg_su_guide_cold_3,dialogue_choice,dch_dlg_su_guide_cold,stat,,father_son_tension,add,10,1,
fx_dch_dlg_su_guide_cold_4,dialogue_choice,dch_dlg_su_guide_cold,stat,,suspicion,add,2,1,
fx_dch_dlg_su_office_calm_1,dialogue_choice,dch_dlg_su_office_calm,relation,,su_qing:player:favor,add,2,1,
fx_dch_dlg_su_office_calm_2,dialogue_choice,dch_dlg_su_office_calm,relation,,zhou_shaoting:player:suspicion,add,2,1,
fx_dch_dlg_su_office_calm_3,dialogue_choice,dch_dlg_su_office_calm,stat,,intel,add,2,1,
fx_dch_dlg_su_office_jab_1,dialogue_choice,dch_dlg_su_office_jab,relation,,zhou_shaoting:player:favor,add,-5,1,
fx_dch_dlg_su_office_jab_2,dialogue_choice,dch_dlg_su_office_jab,relation,,su_qing:player:favor,add,-2,1,
fx_dch_dlg_su_office_jab_3,dialogue_choice,dch_dlg_su_office_jab,stat,,father_son_tension,add,2,1,
fx_dch_dlg_su_office_jab_4,dialogue_choice,dch_dlg_su_office_jab,stat,,suspicion,add,3,1,
fx_dch_dlg_boss_flatter_ok_1,dialogue_choice,dch_dlg_boss_flatter_ok,stat,,trust,add,5,1,
fx_dch_dlg_boss_flatter_ok_2,dialogue_choice,dch_dlg_boss_flatter_ok,relation,,zhou_hongye:player:trust,add,4,1,
fx_dch_dlg_boss_flatter_ok_3,dialogue_choice,dch_dlg_boss_flatter_ok,relation,,zhou_hongye:player:favor,add,3,1,
fx_dch_dlg_boss_flatter_ok_4,dialogue_choice,dch_dlg_boss_flatter_ok,stat,,father_son_tension,add,-1,1,
fx_dch_dlg_boss_blame_ok_1,dialogue_choice,dch_dlg_boss_blame_ok,stat,,trust,add,6,1,
fx_dch_dlg_boss_blame_ok_2,dialogue_choice,dch_dlg_boss_blame_ok,stat,,intel,add,3,1,
fx_dch_dlg_boss_blame_ok_3,dialogue_choice,dch_dlg_boss_blame_ok,stat,,suspicion,add,2,1,
fx_dch_dlg_boss_blame_ok_4,dialogue_choice,dch_dlg_boss_blame_ok,stat,,father_son_tension,add,2,1,
fx_dch_dlg_boss_blame_ok_5,dialogue_choice,dch_dlg_boss_blame_ok,relation,,zhou_hongye:player:trust,add,5,1,
fx_dch_dlg_boss_task_ok_1,dialogue_choice,dch_dlg_boss_task_ok,stat,,money,add,12,1,
fx_dch_dlg_boss_task_ok_2,dialogue_choice,dch_dlg_boss_task_ok,stat,,trust,add,4,1,
fx_dch_dlg_boss_task_ok_3,dialogue_choice,dch_dlg_boss_task_ok,relation,,zhou_hongye:player:favor,add,2,1,
fx_dch_dlg_son_meet_endure_1,dialogue_choice,dch_dlg_son_meet_endure,stat,,intel,add,2,1,
fx_dch_dlg_son_meet_endure_2,dialogue_choice,dch_dlg_son_meet_endure,relation,,zhou_shaoting:player:suspicion,add,2,1,
fx_dch_dlg_son_meet_endure_3,dialogue_choice,dch_dlg_son_meet_endure,stat,,father_son_tension,add,1,1,
fx_dch_dlg_son_meet_needle_1,dialogue_choice,dch_dlg_son_meet_needle,stat,,father_son_tension,add,3,1,
fx_dch_dlg_son_meet_needle_2,dialogue_choice,dch_dlg_son_meet_needle,relation,,zhou_shaoting:player:favor,add,-4,1,
fx_dch_dlg_son_meet_needle_3,dialogue_choice,dch_dlg_son_meet_needle,stat,,suspicion,add,2,1,
fx_dch_dlg_son_meet_needle_4,dialogue_choice,dch_dlg_son_meet_needle,stat,,intel,add,1,1,
fx_dch_dlg_chen_lobby_ok_1,dialogue_choice,dch_dlg_chen_lobby_ok,relation,,chen_manager:player:favor,add,16,1,自由层：一次认真应聘即可摸到跳槽门槛
fx_dch_dlg_chen_lobby_ok_2,dialogue_choice,dch_dlg_chen_lobby_ok,stat,,network_elite,add,2,1,
fx_dch_dlg_chen_lobby_ok_3,dialogue_choice,dch_dlg_chen_lobby_ok,stat,,suspicion,add,5,1,
fx_dch_dlg_chen_lobby_ok_4,dialogue_choice,dch_dlg_chen_lobby_ok,stat,,intel,add,2,1,
fx_dch_dlg_chen_sell_ok_1,dialogue_choice,dch_dlg_chen_sell_ok,stat,,money,add,45,1,
fx_dch_dlg_chen_sell_ok_2,dialogue_choice,dch_dlg_chen_sell_ok,stat,,intel,add,-15,1,
fx_dch_dlg_chen_sell_ok_3,dialogue_choice,dch_dlg_chen_sell_ok,relation,,chen_manager:player:favor,add,10,1,
fx_dch_dlg_chen_sell_ok_4,dialogue_choice,dch_dlg_chen_sell_ok,relation,,chen_manager:player:trust,add,6,1,
fx_dch_dlg_chen_sell_ok_5,dialogue_choice,dch_dlg_chen_sell_ok,stat,,suspicion,add,5,1,
fx_dch_dlg_chen_sell_ok_6,dialogue_choice,dch_dlg_chen_sell_ok,stat,,company_share,add,-2,1,
fx_dch_dlg_chen_sell_ok_7,dialogue_choice,dch_dlg_chen_sell_ok,flag,,flag_sold_intel,set,1,1,
fx_dch_dlg_chen_sell_ok_8,dialogue_choice,dch_dlg_chen_sell_ok,flag,,can_join_tongyang,set,1,1,
fx_dch_dlg_chen_hire_ok_1,dialogue_choice,dch_dlg_chen_hire_ok,flag,,joined_tongyang,set,1,1,
fx_dch_dlg_chen_hire_ok_2,dialogue_choice,dch_dlg_chen_hire_ok,stat,,trust,add,-25,1,
fx_dch_dlg_chen_hire_ok_3,dialogue_choice,dch_dlg_chen_hire_ok,stat,,money,add,25,1,
fx_dch_dlg_chen_hire_ok_4,dialogue_choice,dch_dlg_chen_hire_ok,stat,,network_elite,add,6,1,
fx_dch_dlg_chen_hire_ok_5,dialogue_choice,dch_dlg_chen_hire_ok,relation,,chen_manager:player:trust,add,10,1,
fx_dch_dlg_chen_hire_ok_6,dialogue_choice,dch_dlg_chen_hire_ok,stat,,suspicion,add,4,1,
fx_dch_dlg_contact_corner_ok_1,dialogue_choice,dch_dlg_contact_corner_ok,stat,,intel,add,6,1,
fx_dch_dlg_contact_corner_ok_2,dialogue_choice,dch_dlg_contact_corner_ok,stat,,money,add,5,1,
fx_dch_dlg_contact_corner_ok_3,dialogue_choice,dch_dlg_contact_corner_ok,stat,,network_base,add,1,1,
fx_dch_dlg_contact_corner_ok_4,dialogue_choice,dch_dlg_contact_corner_ok,stat,,network_elite,add,1,1,
fx_dch_dlg_contact_corner_ok_5,dialogue_choice,dch_dlg_contact_corner_ok,stat,,suspicion,add,5,1,
fx_dch_dlg_broker_ok_1,dialogue_choice,dch_dlg_broker_ok,stat,,money,add,-18,1,
fx_dch_dlg_broker_ok_2,dialogue_choice,dch_dlg_broker_ok,stat,,network_elite,add,4,1,
fx_dch_dlg_broker_ok_3,dialogue_choice,dch_dlg_broker_ok,stat,,intel,add,3,1,
fx_dch_dlg_broker_ok_4,dialogue_choice,dch_dlg_broker_ok,stat,,suspicion,add,2,1,
fx_dch_dlg_white_knight_ok_1,dialogue_choice,dch_dlg_white_knight_ok,flag,,flag_white_knight,set,1,1,
fx_dch_dlg_white_knight_ok_2,dialogue_choice,dch_dlg_white_knight_ok,stat,,money,add,-40,1,
fx_dch_dlg_white_knight_ok_3,dialogue_choice,dch_dlg_white_knight_ok,stat,,network_elite,add,5,1,
fx_dch_dlg_white_knight_ok_4,dialogue_choice,dch_dlg_white_knight_ok,stat,,suspicion,add,3,1,
fx_ch_ev_b_d9_night_shift_ok_1,choice,ch_ev_b_d9_night_shift_ok,stat,,suspicion,add,2,1,
fx_ch_ev_b_d9_night_shift_ok_2,choice,ch_ev_b_d9_night_shift_ok,stat,,trust,add,-2,1,
fx_ch_ev_b_d9_night_shift_ok_3,choice,ch_ev_b_d9_night_shift_ok,relation,,zhou_hongye:player:favor,add,-2,1,
fx_ch_ev_b_d11_su_letter_allow_1,choice,ch_ev_b_d11_su_letter_allow,relation,,su_qing:zhou_shaoting:intimacy,add,8,1,
fx_ch_ev_b_d11_su_letter_allow_2,choice,ch_ev_b_d11_su_letter_allow,relation,,su_qing:player:favor,add,-3,1,
fx_ch_ev_b_d11_su_letter_allow_3,choice,ch_ev_b_d11_su_letter_allow,stat,,father_son_tension,add,2,1,
fx_ch_ev_b_d11_su_letter_forbid_1,choice,ch_ev_b_d11_su_letter_forbid,relation,,su_qing:player:favor,add,-8,1,
fx_ch_ev_b_d11_su_letter_forbid_2,choice,ch_ev_b_d11_su_letter_forbid,relation,,su_qing:zhou_shaoting:intimacy,add,-2,1,
fx_ch_ev_b_d11_su_letter_forbid_3,choice,ch_ev_b_d11_su_letter_forbid,stat,,intel,add,2,1,
fx_ch_ev_b_d14_elder_drink_ok_1,choice,ch_ev_b_d14_elder_drink_ok,stat,,intel,add,6,1,
fx_ch_ev_b_d14_elder_drink_ok_2,choice,ch_ev_b_d14_elder_drink_ok,stat,,father_son_tension,add,4,1,
fx_ch_ev_b_d14_elder_drink_ok_3,choice,ch_ev_b_d14_elder_drink_ok,stat,,network_base,add,2,1,
fx_ch_ev_b_d16_fake_ledger_ok_1,choice,ch_ev_b_d16_fake_ledger_ok,stat,,father_son_tension,add,6,1,
fx_ch_ev_b_d16_fake_ledger_ok_2,choice,ch_ev_b_d16_fake_ledger_ok,stat,,suspicion,add,4,1,
fx_ch_ev_b_d16_fake_ledger_ok_3,choice,ch_ev_b_d16_fake_ledger_ok,stat,,stock_price,add,-3,1,
fx_ch_ev_b_d19_su_afraid_comfort_1,choice,ch_ev_b_d19_su_afraid_comfort,relation,,su_qing:player:favor,add,8,1,
fx_ch_ev_b_d19_su_afraid_comfort_2,choice,ch_ev_b_d19_su_afraid_comfort,relation,,su_qing:player:trust,add,5,1,
fx_ch_ev_b_d19_su_afraid_comfort_3,choice,ch_ev_b_d19_su_afraid_comfort,stat,,father_son_tension,add,2,1,
fx_ch_ev_b_d19_su_afraid_use_1,choice,ch_ev_b_d19_su_afraid_use,relation,,su_qing:player:favor,add,-5,1,
fx_ch_ev_b_d19_su_afraid_use_2,choice,ch_ev_b_d19_su_afraid_use,stat,,father_son_tension,add,8,1,
fx_ch_ev_b_d19_su_afraid_use_3,choice,ch_ev_b_d19_su_afraid_use,stat,,suspicion,add,3,1,
fx_ch_ev_b_d21_watchman_ok_1,choice,ch_ev_b_d21_watchman_ok,flag,,boss_watching,set,1,1,
fx_ch_ev_b_d21_watchman_ok_2,choice,ch_ev_b_d21_watchman_ok,stat,,suspicion,add,5,1,
fx_ch_ev_b_d21_watchman_ok_3,choice,ch_ev_b_d21_watchman_ok,relation,,zhou_hongye:player:suspicion,add,8,1,
fx_ch_ev_b_d24_boardroom_noise_ok_1,choice,ch_ev_b_d24_boardroom_noise_ok,stat,,father_son_tension,add,12,1,
fx_ch_ev_b_d24_boardroom_noise_ok_2,choice,ch_ev_b_d24_boardroom_noise_ok,stat,,intel,add,5,1,
fx_ch_ev_b_d24_boardroom_noise_ok_3,choice,ch_ev_b_d24_boardroom_noise_ok,relation,,zhou_hongye:zhou_shaoting:father_son_trust,add,-8,1,
fx_ch_ev_b_d27_promotion_hint_ok_1,choice,ch_ev_b_d27_promotion_hint_ok,stat,,trust,add,3,1,
fx_ch_ev_b_d27_promotion_hint_ok_2,choice,ch_ev_b_d27_promotion_hint_ok,stat,,intel,add,2,1,
fx_ch_ev_b_d27_promotion_hint_ok_3,choice,ch_ev_b_d27_promotion_hint_ok,stat,,father_son_tension,add,3,1,
fx_ch_ev_a_d12_probe_ok_1,choice,ch_ev_a_d12_probe_ok,relation,,chen_manager:player:favor,add,5,1,
fx_ch_ev_a_d12_probe_ok_2,choice,ch_ev_a_d12_probe_ok,stat,,intel,add,3,1,
fx_ch_ev_a_d12_probe_ok_3,choice,ch_ev_a_d12_probe_ok,stat,,suspicion,add,4,1,
fx_ch_ev_c_d13_tick_ok_1,choice,ch_ev_c_d13_tick_ok,stat,,intel,add,4,1,
fx_ch_ev_c_d13_tick_ok_2,choice,ch_ev_c_d13_tick_ok,stat,,stock_price,add,-2,1,
fx_ch_ev_c_d13_tick_ok_3,choice,ch_ev_c_d13_tick_ok,stat,,network_elite,add,1,1,
fx_ch_ev_a_offer_ok_1,choice,ch_ev_a_offer_ok,relation,,chen_manager:player:favor,add,5,1,
fx_ch_ev_a_offer_ok_2,choice,ch_ev_a_offer_ok,stat,,intel,add,2,1,
fx_ch_ev_a_offer_ok_3,choice,ch_ev_a_offer_ok,flag,,route_focus_a,set,1,1,
fx_ch_ev_a_offer_ok_4,choice,ch_ev_a_offer_ok,flag,,can_join_tongyang,set,1,1,
fx_ch_ev_a_offer_interest_1,choice,ch_ev_a_offer_interest,relation,,chen_manager:player:favor,add,6,1,
fx_ch_ev_a_offer_interest_2,choice,ch_ev_a_offer_interest,stat,,network_elite,add,2,1,
fx_ch_ev_a_offer_interest_3,choice,ch_ev_a_offer_interest,stat,,suspicion,add,3,1,
fx_ch_ev_a_offer_interest_4,choice,ch_ev_a_offer_interest,flag,,route_focus_a,set,1,1,
fx_ch_ev_a_offer_interest_5,choice,ch_ev_a_offer_interest,flag,,can_join_tongyang,set,1,1,
fx_ch_ev_low_money_debuff_ok_1,choice,ch_ev_low_money_debuff_ok,flag,,low_money,set,1,1,
fx_ch_d3_ok_flag,choice,ch_d3_ok,flag,,son_notices_su,set,1,1,
fx_ch_b_clash_show,choice,ch_b_clash_ok,flag,,ending_show_b,set,1,1,
fx_home_rest_sus,action,home_rest,stat,,suspicion,add,-12,1,tuned wash
fx_home_organize_sus,action,home_organize,stat,,suspicion,add,-3,1,
fx_home_organize_intel,action,home_organize,stat,,intel,add,5,1,
fx_stock_buy_lots_note,action,ex_buy,flag,,flag_holding_long,set,1,1,mirror until engine uses only stats
fx_stock_short_flag,action,ex_short,flag,,flag_holding_short,set,1,1,
fx_stock_lev_flag,action,ex_leverage,flag,,flag_used_leverage,set,1,1,
fx_sync_task_rel,dialogue_choice,dch_dlg_boss_task_ok,relation,,zhou_hongye:player:trust,add,2,1,sync with stats.trust policy: company trust mirrored to boss relation
fx_ch_ev_b_d28_calm_before_ok_1,choice,ch_ev_b_d28_calm_before_ok,stat,,intel,add,3,1,
fx_ch_ev_b_d28_calm_before_ok_2,choice,ch_ev_b_d28_calm_before_ok,stat,,suspicion,add,-2,1,
fx_ch_ev_b_d29_whisper_low_1,choice,ch_ev_b_d29_whisper_low,stat,,suspicion,add,-3,1,
fx_ch_ev_b_d29_whisper_push_1,choice,ch_ev_b_d29_whisper_push,stat,,father_son_tension,add,4,1,
fx_ch_ev_b_d29_whisper_push_2,choice,ch_ev_b_d29_whisper_push,stat,,suspicion,add,3,1,
fx_ch_ev_b_d30_hook_ok_1,choice,ch_ev_b_d30_hook_ok,stat,,intel,add,2,1,
fx_ch_ev_c_profit_milestone_ok_2,choice,ch_ev_c_profit_milestone_ok,stat,,network_elite,add,3,1,
fx_ch_ev_a_d20_pressure_hide_1,choice,ch_ev_a_d20_pressure_hide,stat,,suspicion,add,4,1,
fx_ch_ev_a_d20_pressure_hide_2,choice,ch_ev_a_d20_pressure_hide,stat,,intel,add,2,1,
fx_ch_ev_a_d20_pressure_strike_1,choice,ch_ev_a_d20_pressure_strike,relation,,chen_manager:player:favor,add,4,1,
fx_ch_ev_a_d20_pressure_strike_2,choice,ch_ev_a_d20_pressure_strike,stat,,suspicion,add,6,1,
fx_ch_ev_c_d22_drift_hold_1,choice,ch_ev_c_d22_drift_hold,stat,,stock_price,add,-2,1,
fx_ch_ev_c_d22_drift_hold_2,choice,ch_ev_c_d22_drift_hold,stat,,suspicion,add,1,1,
fx_ch_ev_c_d22_drift_think_close_1,choice,ch_ev_c_d22_drift_think_close,stat,,intel,add,2,1,
fx_dialogue_choice_dch_dlg_dock_chat_soft_stat_intel_add_1,dialogue_choice,dch_dlg_dock_chat_soft,stat,,intel,add,1,1,
fx_dialogue_choice_dch_dlg_dock_chat_push_stat_intel_add_2,dialogue_choice,dch_dlg_dock_chat_push,stat,,intel,add,2,1,
fx_dialogue_choice_dch_dlg_dock_chat_push_stat_suspicion_add_1,dialogue_choice,dch_dlg_dock_chat_push,stat,,suspicion,add,1,1,
fx_dialogue_choice_dch_dlg_dock_report_humble_stat_trust_add_1,dialogue_choice,dch_dlg_dock_report_humble,stat,,trust,add,1,1,
fx_dialogue_choice_dch_dlg_dock_report_claim_stat_trust_add_2,dialogue_choice,dch_dlg_dock_report_claim,stat,,trust,add,2,1,
fx_dialogue_choice_dch_dlg_dock_report_claim_stat_suspicion_add_1,dialogue_choice,dch_dlg_dock_report_claim,stat,,suspicion,add,1,1,
fx_dialogue_choice_dch_dlg_dock_steal_extra_stat_intel_add_2,dialogue_choice,dch_dlg_dock_steal_extra,stat,,intel,add,2,1,
fx_dialogue_choice_dch_dlg_dock_steal_extra_stat_suspicion_add_2,dialogue_choice,dch_dlg_dock_steal_extra,stat,,suspicion,add,2,1,
fx_dialogue_choice_dch_dlg_dock_black_greed_stat_money_add_8,dialogue_choice,dch_dlg_dock_black_greed,stat,,money,add,8,1,
fx_dialogue_choice_dch_dlg_dock_black_greed_stat_suspicion_add_3,dialogue_choice,dch_dlg_dock_black_greed,stat,,suspicion,add,3,1,
fx_dialogue_choice_dch_dlg_co_eaves_linger_stat_intel_add_2,dialogue_choice,dch_dlg_co_eaves_linger,stat,,intel,add,2,1,
fx_dialogue_choice_dch_dlg_co_eaves_linger_stat_suspicion_add_2,dialogue_choice,dch_dlg_co_eaves_linger,stat,,suspicion,add,2,1,
fx_dialogue_choice_dch_dlg_co_elder_toast_stat_network_base_add_1,dialogue_choice,dch_dlg_co_elder_toast,stat,,network_base,add,1,1,
fx_dialogue_choice_dch_dlg_co_elder_ask_stat_intel_add_2,dialogue_choice,dch_dlg_co_elder_ask,stat,,intel,add,2,1,
fx_dialogue_choice_dch_dlg_co_elder_ask_stat_money_add_-3,dialogue_choice,dch_dlg_co_elder_ask,stat,,money,add,-3,1,
fx_dialogue_choice_dch_dlg_co_frame_fan_stat_father_son_tension_add_2,dialogue_choice,dch_dlg_co_frame_fan,stat,,father_son_tension,add,2,1,
fx_dialogue_choice_dch_dlg_co_frame_fan_stat_suspicion_add_2,dialogue_choice,dch_dlg_co_frame_fan,stat,,suspicion,add,2,1,
fx_dialogue_choice_dch_dlg_home_plan_b_flag_route_focus_b_set_1,dialogue_choice,dch_dlg_home_plan_b,flag,,route_focus_b,set,1,1,
fx_dialogue_choice_dch_dlg_home_plan_a_flag_route_focus_a_set_1,dialogue_choice,dch_dlg_home_plan_a,flag,,route_focus_a,set,1,1,
fx_dialogue_choice_dch_dlg_home_plan_c_flag_route_focus_c_set_1,dialogue_choice,dch_dlg_home_plan_c,flag,,route_focus_c,set,1,1,
fx_dialogue_choice_dch_dlg_rival_poach_ok_stat_network_elite_add_1,dialogue_choice,dch_dlg_rival_poach_ok,stat,,network_elite,add,1,1,
fx_dialogue_choice_dch_dlg_rival_poach_push_stat_money_add_-10,dialogue_choice,dch_dlg_rival_poach_push,stat,,money,add,-10,1,
fx_dialogue_choice_dch_dlg_rival_poach_push_stat_network_elite_add_2,dialogue_choice,dch_dlg_rival_poach_push,stat,,network_elite,add,2,1,
fx_dialogue_choice_dch_dlg_rival_poach_push_stat_suspicion_add_2,dialogue_choice,dch_dlg_rival_poach_push,stat,,suspicion,add,2,1,
